address,price,lat,lon
109 Wiswall Rd,1190000,42.295156,-71.188362
1094 Union St,375000,42.148793,-70.924629
11 Arbor St #1,1,42.606279,-70.887078
11 Arbor St #3,1,42.606279,-70.887078
11 Beachway,150000,42.042611,-70.834479
11 Bellair St,1052000,42.471511,-70.954693
11 Brighton St #11,700400,42.395515,-71.158676
11 Church St,350000,42.060997,-71.247711
11 Cogswell Ave #3,200000,42.391329,-71.124666
11 Hearthstone Dr,620000,42.495506,-71.184389
11 Hendry St,1032500,42.309172,-71.064686
11 Kings Row Ln,810000,42.302693,-71.46242
19 Overlook Ridge Dr,290000000,42.440462,-71.020941
11 Polk Rd,1030000,42.470223,-71.116198
11 Prescott Ter,265000,42.250684,-70.961164
11 Sacramento Pl,1600000,42.382909,-71.116936
11 Shaw Rd,925000,42.308535,-71.282359
11 Sherman St,2800000,42.447571,-71.222551
11 Tilton Ter,450000,42.469001,-70.940988
11 Weld St #10,175000,42.270168,-71.403266
11 Wingaersheek Rd,4000000,42.655336,-70.700707
11 Goodwin Pl,3070000,42.334173,-71.122156
12 Goodwin Pl,3070000,42.334262,-71.121977
11 Mellen St,5400000,42.380918,-71.119541
13 Mellen St,5400000,42.380915,-71.119464
11 Harlow St #2,929000,42.408134,-71.144507
110 Larch Row,2100000,42.59806,-70.868207
1105 Massachusetts Ave #12C,800000,42.370392,-71.113314
1108 N Main St,330000,42.193257,-71.060164
111 Boston St,5000,42.325982,-71.058951
111 Orient Ave,9850000,42.390259,-71.003909
111 Roslindale Ave,845000,42.283898,-71.134673
111 Western Ave,600000,42.480432,-70.945848
1104 Washington St,1,42.134242,-70.840915
112 Adams St,2040000,42.305029,-71.061227
112 Harvard St,1502000,42.349469,-71.20122
112 Haverhill St,1,42.572293,-71.080323
20 Dawes St #3,517500,42.318578,-71.060517
112 Kingston Rd,790000,42.412265,-71.235742
112 Sumner St,705000,42.165834,-71.200474
114 Rawson Rd,900000,42.415207,-71.141326
12-14 Deer St,800000,42.312504,-71.058039
1121 Dorchester Ave,3800000,42.312433,-71.057448
31 Savin Hill Ave,3800000,42.312813,-71.05764
113 Brook St,1300000,42.292208,-71.28109
113 Fuller St,1030000,42.28221,-71.070953
113 Glades Rd,1,42.242092,-70.763723
113 Warwick Ave,430000,42.40481,-71.221836
1130 Washington St,980000,42.134542,-70.841089
23 High St,270000,42.215156,-70.921571
114 Spring St,1800000,42.369279,-71.083542
212 Belgrade Ave,1575000,42.286166,-71.13933
115 Country Dr,1500000,42.335933,-71.328036
115 Woodlawn Ave,2325000,42.32078,-71.275196
115 Woolford Rd,705000,42.0711,-71.35865
1155 Main St,900000,42.554815,-71.042721
12 Dennison Ct,810000,42.101195,-71.078882
1162 Morton St,582500,42.275757,-71.073613
118 Franklin St,355555,42.070772,-71.32948
114 Great Hill Dr,762500,42.250467,-70.939211
118 Larch Row,2900000,42.59806,-70.868207
118 Pearl Ave,685000,42.393156,-70.985933
386 Prospect St,5250000,42.374351,-71.097332
1180 Great Plain Ave,2500000,42.28007,-71.241941
121 Florence St,789000,42.406409,-71.043802
119 Marion St,500000,42.534012,-71.181024
37 Stonehurst St,400000,42.305271,-71.066814
1192 Main St,1,42.177312,-70.884697
11 Old Right Rd #A,1799000,42.68221,-70.91397
12 Ardley Pl,1200000,42.458211,-71.149586
12 Bay Path Ln,1400000,42.2874,-71.508688
12 Carlida Rd,650000,42.468687,-71.051848
12 Concord Ave,1050000,42.376707,-71.096363
12-12A Derne St,1500000,42.35954,-71.063306
12 Garner St,1015000,42.3376,-71.188592
12 Hampton Ct,2149000,42.541178,-71.023047
12 High St #D,707000,42.656611,-70.617099
12 Mear Rd,10875000,42.153262,-71.026853
12 Normandy St,640000,42.311629,-71.077927
12 N Gateway,850000,42.438168,-71.134589
12 Old Colony Ave,1350000,42.265609,-71.01856
12 Pearl St,625000,42.281562,-71.349474
12 Post Office Sq,677500,42.123735,-71.178854
12 Roberta Rd,810000,42.355679,-71.241291
12 Stratford Way,2860000,42.422051,-71.280875
12 Tophet Rd,980000,42.55256,-71.057307
12-14A Walk Hill St,1350000,42.295546,-71.115762
12-18 Hartwell Ave,2965245,42.475582,-71.253159
120 Broad St,450000,42.344966,-71.564578
120 Granite Pl,808500,42.260188,-71.035378
120 Granite Pl,808500,42.260188,-71.035378
120 Harrison Ave,430000,42.476989,-71.166361
120 Lee Dr,1000000,42.471036,-71.384175
120 Mountfort St #504,1085000,42.348404,-71.106001
120 Nantasket Ave,1450000,42.286093,-70.875706
120 Norwood Ave,1650000,42.350185,-71.20013
120 Radcliffe Rd,1400000,42.325126,-71.320853
120 Saint Andrew Rd,570000,42.38353,-71.000021
1201 Saratoga St,1150000,42.383359,-70.997891
45 Preston Ter,875000,42.139436,-70.696928
121 Hudson St,1200000,42.392181,-71.110576
121 Oliver Rd,1400000,42.401757,-71.158425
121 Prospect St,3470000,42.375558,-71.096736
121 Rindge Ave,1250000,42.393186,-71.129556
121 Warren Ave,2300000,42.344436,-71.074328
23 Nahant Ave,875000,42.389607,-70.971685
126 Holten St,390000,42.560451,-70.951269
123 Centre St,1450000,42.257294,-71.272162
123 Essex St,500000,42.557713,-70.871658
123 Fuller St,2500000,42.347634,-71.125169
123 Nokomis Rd,509000,42.253511,-70.90651
123 Weatherbee Dr,1150000,42.21697,-71.16148
124 Briar Ln,1100000,42.193461,-71.236552
124 Coolidge St,2000000,42.348004,-71.126039
125 Lee St,2780000,42.323402,-71.137264
126 Tremont St,11500000,42.356662,-71.06182
126 Beaver St #101,115000,42.275493,-71.405084
124 Jackson St,11229,42.396727,-71.135424
127 Bolton St,260000,42.340267,-71.050406
127 Saratoga St,575000,42.377083,-71.035089
127 Sylvan St,1500000,42.551635,-70.946703
2-4 Soden St,2300000,42.365122,-71.108156
1274 Dorchester Ave,280000,42.307649,-71.05828
1278 Dorchester Ave,1520000,42.307621,-71.058287
128 Beacon St #K,6100000,42.3551,-71.073792
128 Beacon St #D,7500000,42.3551,-71.073792
128 Saint Botolph St,2800000,42.344002,-71.081896
129 Brook Rd,675000,42.240056,-71.009617
129 Jewett St,1885000,42.356519,-71.191574
129 Arsenal St,1049000,42.364628,-71.177304
13 Francis St,320000,42.403787,-71.042738
13-15 Lambert St,908000,42.328271,-71.090932
13 Leyden St,575000,42.39892,-71.09947
12 Spring Ct #12,1,42.477059,-71.137613
13 Tech Cir,3990000,42.313888,-71.337693
13-15 Broadway,765000,42.245556,-70.980672
17 Allen St,1900000,42.378416,-71.093246
128 Fisher Ave,2050000,42.327836,-71.10485
130 Fisher Ave,2050000,42.327911,-71.104628
130 Talbot Ave,1650000,42.293004,-71.081169
4 Keith Way #4,3450000,42.177416,-70.907519
132 Glezen Ln,560000,42.382945,-71.354129
132 Lincoln St #10,625000,42.351299,-71.058238
133 Fayerweather St,1610000,42.383906,-71.136475
133 Mattapan St,476000,42.279589,-71.09744
133 Salem St,45000000,42.438909,-71.017544
1337 Commonwealth Ave,2318000,42.336978,-71.220499
134 Center St,400000,42.147673,-71.036741
135-137 Lawton Ave,3400000,42.470468,-70.954336
139 Lawton Ave,3400000,42.470558,-70.954429
34 Somerset Rd,4430000,42.344776,-71.21741
136-140 Franklin St,1675000,42.467982,-70.95784
136 Newbury St,7600000,42.35095,-71.077178
136 W Canton St,3900000,42.343121,-71.075338
1365 Canton Ave,1075000,42.231187,-71.111714
137 Beaver St,540000,42.12824,-71.493936
137 Lasell St,555000,42.289219,-71.166459
137 O St,635000,42.333404,-71.029296
137-139 Pearl St #M1,1175000,42.354903,-71.053844
138 E Central St,465000,42.080916,-71.391497
122 E Central St,435000,42.081058,-71.392213
21 Dunster Ln,825000,42.436429,-71.174654
139 E Central St,430000,42.081302,-71.392654
8 Kittredge St #13,349000,42.284566,-71.12936
14 Cherry St,775000,42.422737,-71.094722
14 Cider Mill Rd,590000,42.174397,-71.425005
14 Concord Ave #807,2000000,42.378622,-71.124245
14 Concord Ave #809,2000000,42.378622,-71.124245
14 Forest St,420000,42.599554,-71.023686
14 Fowler St,1,42.425648,-71.448252
14 Garvey St,1850000,42.401781,-71.055213
14 Grant St,650000,42.31815,-71.055378
14 King Philip Trl,603000,42.12552,-71.308379
7 Hill St,401000,42.217086,-70.921216
50 Warfield Ave,330000,42.283669,-70.87497
14 Main St,2200000,42.242266,-70.889194
14 Overbrook Ter,415000,42.305156,-71.327346
14 Pond Rd,1710000,42.627388,-70.641921
484 High St,640000,42.2487,-71.168708
44 Lexington St,5175000,42.377666,-71.037937
46 Lexington St,5175000,42.377702,-71.037838
14 Sterling St,1170000,42.343354,-71.229597
14 Summer St,810000,42.315491,-71.224997
14 Wayne Dr,375000,42.08778,-71.23197
14 Wood St #A,650000,42.375903,-71.064698
14-16 Nazing St,699000,42.306626,-71.085835
14 Pierce St,3250000,42.078496,-71.281737
18 Pierce St,3250000,42.079065,-71.282625
140 Holly Rd,600000,42.133622,-70.70373
140 Livingstone Ave,1200000,42.546139,-70.89882
140 Pearl St,896000,42.385781,-71.088435
140 Roundwood Rd,975000,42.316019,-71.220141
14 Union Ave,335000,42.407892,-71.057236
70 Everett St,450000,42.411411,-71.065951
57 Windsor St,385000,42.4216,-71.047735
140 Whitman Rd,1550000,42.263783,-71.280438
1409 Commercial St,500000,42.215087,-70.924295
141 Chelsea St,750000,42.373905,-71.034121
141 High St #3,520000,42.378799,-71.066855
141 Hillside St,1900000,42.331275,-71.106222
142 Amory St,1210000,42.37194,-71.100392
140 Speen St,430000,42.284838,-71.375426
142 Speen St,430000,42.285094,-71.375294
143 Derby St,1000000,42.521918,-70.885625
143 Lynnfield St,1780000,42.516582,-70.959712
143 Prospect St,1425000,42.525361,-71.121395
143 Spruce St,830000,42.366067,-71.168588
96 Central Dr,380000,42.136297,-71.097761
1435 Centre St,1127000,42.293414,-71.137397
144 Haven St #144,320000,42.523367,-71.104223
144 W Canton St #1,3600000,42.343121,-71.075338
1440 Beacon St,52900000,42.340823,-71.127024
145 Pinckney St #628,760000,42.358804,-71.072238
145 Sutherland Rd,2150000,42.340629,-71.147398
146 High St,7400000,42.687325,-70.846774
146 Lowell Rd,4400000,42.310367,-71.292909
146-148 Naples Rd,3900000,42.350628,-71.123693
146 Park Ave,6961620,42.430511,-71.176863
146 Summer St,900000,42.416133,-71.117933
147 Broadway,2300000,42.398699,-71.063165
148 Falcon St,620000,42.38195,-71.03185
148 Morrison Ave,912500,42.396205,-71.117035
149 King St,335000,42.240812,-70.828762
